Rank,Metropolitan Statistical Area,Population,Household Income
117,Charleston-North Charleston- South Carolina MSA,549033,39491
118,Canton-Massillon- Ohio MSA,406934,39457
119,Eau Claire- Wisconsin-MSA,148337,39372
120,Lexington- Kentucky MSA,479198,39357
121,Evansville-Henderson- Indiana-Kentucky MSA,296195,39307
122,Roanoke- Virginia MSA,235932,39288
123,Lima- Ohio MSA,155084,39284
124,Birmingham-Hoover-Cullman- Alabama MSA,921106,39278
125,Little Rock-North Little Rock- Arkansas MSA,583845,39145
126,San Antonio- Texas MSA,1592383,39140
127,Albuquerque- New Mexico MSA,712738,39088
128,Lafayette- Indiana MSA,182821,39072
129,Jackson- Mississippi MSA,440801,38887
130,Victoria- Texas MSA,84088,38732
131,Fort Pierce-Port St. Lucie- Florida MSA,319426,38724
132,Miami-Fort Lauderdale- Florida-CMSA,3876380,38632
133,Wilmington- North Carolina MSA,233450,38632
134,Benton Harbor- Michigan MSA,162453,38567
135,Macon- Georgia MSA,322549,38565
136,Sioux City- Iowa-Nebraska MSA,124130,38563
137,Glens Falls- New York MSA,124345,38526
138,Pittsfield- Massachusetts MSA,84708,38515
139,Buffalo-Niagara Falls- New York MSA,1170111,38488
140,Greenville-Spartanburg-Anderson- South CarolinaMSA,962441,38458
141,Baton Rouge- Louisiana-MSA,602894,38438
142,Tulsa- Oklahoma MSA,803235,38261
143,Augusta-Aiken- Georgia-South Carolina MSA,477441,38103
144,Fargo-Moorhead- North Dakota-Minnesota-MSA,174367,38069
145,Flagstaff- Arizona-Utah MSA,122366,37971
146,Decatur- Illinois MSA,114706,37859
147,Hickory-Morganton-Lenoir- North Carolina MSA,341851,37818
148,Champaign-Urbana- Illinois-MSA,179669,37780
149,Montgomery- Alabama MSA,333055,37619
150,Lawrence- Kansas MSA,99962,37547
151,Columbia- Missouri MSA,135454,37485
152,Rapid City- South Dakota MSA,88565,37485
153,Pittsburgh- Pennsylvania MSA,2358695,37467
154,Fayetteville- North Carolina MSA,302963,37466
155,Chattanooga- Tennessee-Georgia MSA,465161,37411
156,Tampa-St. Petersburg-Clearwater- Florida-MSA,2395997,37406
157,Fayetteville-Springdale-Rogers- Arkansas-MissouriMSA,311121,37322
158,Spokane- Washington MSA,417939,37308
159,Waterloo-Cedar Falls- Iowa MSA,128012,37266
160,Sherman-Denison- Texas MSA,110595,37178
161,Tyler- Texas MSA,174706,37148
162,Mansfield- Ohio MSA,175818,37060
163,Lynchburg- Virginia MSA,214911,37010
164,Pensacola- Florida MSA,412153,36975
165,Eugene-Springfield- Oregon MSA,322959,36942
166,Knoxville- Tennessee MSA,687249,36874
167,Owensboro- Kentucky MSA,91545,36813
168,Oklahoma City- Oklahoma MSA,1083346,36797
169,Tucson- Arizona MSA,843746,36758
170,Billings- Montana MSA,129352,36727
171,Pocatello- Idaho MSA,75565,36683
172,Killeen-Temple- Texas MSA,312952,36669
173,Biloxi-Gulfport-Pascagoula- Mississippi MSA,363988,36662
174,Jackson- Tennessee MSA,107377,36649
175,Erie- Pennsylvania MSA,280843,36627
176,Casper- Wyoming MSA,66533,36619
177,Myrtle Beach- South Carolina MSA,196629,36470
178,Medford-Ashland- Oregon MSA,181269,36461
